"LibraryName", "LibraryPath", "LibraryPathGeneric", "ExecutableName", "ExecutablePath", "ExecutablePathGeneric", "Type"
"acrodistdll.dll","C:\Program Files\Adobe\Acrobat %VERSION%\Acrobat\acrodistdll.dll","%PROGRAMFILES%\Adobe\Acrobat %VERSION%\Acrobat\acrodistdll.dll","AcroDist.exe","C:\Program Files\Adobe\Acrobat %VERSION%\Acrobat\AcroDist.exe","%PROGRAMFILES%\Adobe\Acrobat %VERSION%\Acrobat\AcroDist.exe","Sideloading"
"ciscosparklauncher.dll","C:\Users\<User>\AppData\Local\CiscoSparkLauncher\ciscosparklauncher.dll","%LOCALAPPDATA%\CiscoSparkLauncher\ciscosparklauncher.dll","CiscoCollabHost.exe","","","Sideloading"
"wcldll.dll","C:\Program Files\Cisco Systems\Cisco Jabber\wcldll.dll","%PROGRAMFILES%\Cisco Systems\Cisco Jabber\wcldll.dll","ptInst.exe","C:\Program Files\Webex\Applications\ptInst.exe","%PROGRAMFILES%\Webex\Applications\ptInst.exe","Sideloading"
"wcldll.dll","C:\Program Files\Webex\Applications\wcldll.dll","%PROGRAMFILES%\Webex\Applications\wcldll.dll","ptInst.exe","C:\Program Files\Webex\Applications\ptInst.exe","%PROGRAMFILES%\Webex\Applications\ptInst.exe","Sideloading"
"wcldll.dll","C:\Program Files\Webex\Plugins\wcldll.dll","%PROGRAMFILES%\Webex\Plugins\wcldll.dll","ptInst.exe","C:\Program Files\Webex\Applications\ptInst.exe","%PROGRAMFILES%\Webex\Applications\ptInst.exe","Sideloading"
"classicexplorer32.dll","C:\Program Files\Classic Shell\classicexplorer32.dll","%PROGRAMFILES%\Classic Shell\classicexplorer32.dll","ClassicExplorerSettings.exe","","","Sideloading"
"classicexplorer32.dll","C:\Program Files\Open-Shell\classicexplorer32.dll","%PROGRAMFILES%\Open-Shell\classicexplorer32.dll","ClassicExplorerSettings.exe","","","Sideloading"
"hpqhvsei.dll","C:\Program Files\HP\hpqhvsei.dll","%PROGRAMFILES%\HP\hpqhvsei.dll","hpqhvind.exe","","","Sideloading"
"hpcustpartui.dll","C:\Program Files\HP\hpcustpartui.dll","%PROGRAMFILES%\HP\hpcustpartui.dll","HPCustParticUI.exe","","","Sideloading"
"ldvpocx.ocx","C:\Program Files\Symantec_Client_Security\Symantec AntiVirus\ldvpocx.ocx","%PROGRAMFILES%\Symantec_Client_Security\Symantec AntiVirus\ldvpocx.ocx","ldvpreg.exe","C:\Program Files\Symantec_Client_Security\Symantec AntiVirus\ldvpreg.exe","%PROGRAMFILES%\Symantec_Client_Security\Symantec AntiVirus\ldvpreg.exe","Sideloading"
"ldvpocx.ocx","C:\Program Files\Symantec AntiVirus\ldvpocx.ocx","%PROGRAMFILES%\Symantec AntiVirus\ldvpocx.ocx","ldvpreg.exe","C:\Program Files\Symantec_Client_Security\Symantec AntiVirus\ldvpreg.exe","%PROGRAMFILES%\Symantec_Client_Security\Symantec AntiVirus\ldvpreg.exe","Sideloading"
"rastls.dll","C:\Program Files\Symantec\Network Connected Devices Auto Setup\rastls.dll","%PROGRAMFILES%\Symantec\Network Connected Devices Auto Setup\rastls.dll","rastlsc.exe","C:\Program Files\Symantec\Network Connected Devices Auto Setup\rastlsc.exe","%PROGRAMFILES%\Symantec\Network Connected Devices Auto Setup\rastlsc.exe","Sideloading"
"libvlc.dll","C:\Program Files\VideoLAN\VLC\libvlc.dll","%PROGRAMFILES%\VideoLAN\VLC\libvlc.dll","vlc.exe","C:\Program Files\VideoLAN\VLC\vlc.exe","%PROGRAMFILES%\VideoLAN\VLC\vlc.exe","Sideloading"
"libvlccore.dll","C:\Program Files\VideoLAN\VLC\libvlccore.dll","%PROGRAMFILES%\VideoLAN\VLC\libvlccore.dll","vlc.exe","C:\Program Files\VideoLAN\VLC\vlc.exe","%PROGRAMFILES%\VideoLAN\VLC\vlc.exe","Sideloading"
"libcurl.dll","C:\Program Files\Notepad++\updater\libcurl.dll","%PROGRAMFILES%\Notepad++\updater\libcurl.dll","GUP.exe","C:\Program Files\Notepad++\updater\GUP.exe","%PROGRAMFILES%\Notepad++\updater\GUP.exe","Sideloading"
"keyscramblerie.dll","C:\Program Files\KeyScrambler\keyscramblerie.dll","%PROGRAMFILES%\KeyScrambler\keyscramblerie.dll","KeyScrambler.exe","C:\Program Files\KeyScrambler\KeyScrambler.exe","%PROGRAMFILES%\KeyScrambler\KeyScrambler.exe","Sideloading"
"libglib-2.0-0.dll","C:\Program Files\Wireshark\libglib-2.0-0.dll","%PROGRAMFILES%\Wireshark\libglib-2.0-0.dll","Mergecap.exe","C:\Program Files\Wireshark\Mergecap.exe","%PROGRAMFILES%\Wireshark\Mergecap.exe","Sideloading"
"libwsutil.dll","C:\Program Files\Wireshark\libwsutil.dll","%PROGRAMFILES%\Wireshark\libwsutil.dll","Mergecap.exe","C:\Program Files\Wireshark\Mergecap.exe","%PROGRAMFILES%\Wireshark\Mergecap.exe","Sideloading"
"vender.dll","C:\Program Files\ASUS\GPU TweakII\vender.dll","%PROGRAMFILES%\ASUS\GPU TweakII\vender.dll","ASUSGPUFanService.exe","C:\Program Files\ASUS\GPU TweakII\ASUSGPUFanService.exe","%PROGRAMFILES%\ASUS\GPU TweakII\ASUSGPUFanService.exe","Sideloading"
"vender.dll","C:\Program Files\ASUS\VGA COM\%VERSION%\vender.dll","%PROGRAMFILES%\ASUS\VGA COM\%VERSION%\vender.dll","ASUSGPUFanService.exe","C:\Program Files\ASUS\GPU TweakII\ASUSGPUFanService.exe","%PROGRAMFILES%\ASUS\GPU TweakII\ASUSGPUFanService.exe","Sideloading"
"asus_wmi.dll","C:\Program Files\ASUS\AXSP\%VERSION%\asus_wmi.dll","%PROGRAMFILES%\ASUS\AXSP\%VERSION%\asus_wmi.dll","atkexComSvc.exe","C:\Program Files\ASUS\AXSP\%VERSION%\atkexComSvc.exe","%PROGRAMFILES%\ASUS\AXSP\%VERSION%\atkexComSvc.exe","Sideloading"
"asio.dll","C:\Program Files\ASUS\AXSP\%VERSION%\asio.dll","%PROGRAMFILES%\ASUS\AXSP\%VERSION%\asio.dll","atkexComSvc.exe","C:\Program Files\ASUS\AXSP\4.02.12\atkexComSvc.exe","%PROGRAMFILES%\ASUS\AXSP\4.02.12\atkexComSvc.exe","Sideloading"
"unityplayer.dll","C:\Users\<User>\AppData\Local\Temp\%VERSION%\Windows\unityplayer.dll","%LOCALAPPDATA%\Temp\%VERSION%\Windows\unityplayer.dll","KingdomTwoCrowns.exe","","","Sideloading"
